0
freeCodeCamp/freeCodeCamp
996icu/996.ICU
EbookFoundation/free-programming-books
jwasham/coding-interview-university
sindresorhus/awesome
kamranahmedse/developer-roadmap
public-apis/public-apis
vuejs/vue
donnemartin/system-design-primer
facebook/react
tensorflow/tensorflow
codecrafters-io/build-your-own-x
twbs/bootstrap
getify/You-Dont-Know-JS
CyC2018/CS-Notes
trekhleb/javascript-algorithms
ohmyzsh/ohmyzsh
flutter/flutter
TheAlgorithms/Python
vinta/awesome-python
github/gitignore
torvalds/linux
microsoft/vscode
Snailclimb/JavaGuide
airbnb/javascript
jackfrued/Python-100-Days
ossu/computer-science
ytdl-org/youtube-dl
labuladong/fucking-algorithm
jlevy/the-art-of-command-line
facebook/react-native
electron/electron
golang/go
d3/d3
30-seconds/30-seconds-of-code
awesome-selfhosted/awesome-selfhosted
facebook/create-react-app
axios/axios
justjavac/free-programming-books-zh_CN
vercel/next.js
kubernetes/kubernetes
nodejs/node
avelino/awesome-go
denoland/deno
microsoft/terminal
mrdoob/three.js
microsoft/TypeScript
angular/angular
ant-design/ant-design
goldbergyoni/nodebestpractices
mui/material-ui
puppeteer/puppeteer
PanJiaChen/vue-element-admin
yangshun/tech-interview-handbook
microsoft/PowerToys
iluwatar/java-design-patterns
trimstray/the-book-of-secret-knowledge
practical-tutorials/project-based-learning
animate-css/animate.css
tensorflow/models
storybookjs/storybook
nvbn/thefuck
ryanmcdermott/clean-code-javascript
rust-lang/rust
MisterBooo/LeetCodeAnimation
laravel/laravel
FortAwesome/Font-Awesome
Genymobile/scrcpy
huggingface/transformers
gothinkster/realworld
vuejs/awesome-vue
django/django
bitcoin/bitcoin
tonsky/FiraCode
doocs/advanced-java
papers-we-love/papers-we-love
moby/moby
opencv/opencv
typicode/json-server
spring-projects/spring-boot
gin-gonic/gin
sveltejs/svelte
webpack/webpack
hakimel/reveal.js
thedaviddias/Front-End-Checklist
gohugoio/hugo
mtdvio/every-programmer-should-know
elastic/elasticsearch
macrozheng/mall
nvm-sh/nvm
apple/swift
netdata/netdata
pallets/flask
tailwindlabs/tailwindcss
fatedier/frp
angular/angular.js
ripienaar/free-for-dev
